T26,Population employed in research and development (R&D),,,,,
24,Angola,2011,R & D personnel: Technicians - total (number in full-time equivalent),858,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
24,Angola,2011,R & D personnel: Technicians - women (number in full-time equivalent),242,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
24,Angola,2011,R & D personnel: Other supporting staff - total (number in full-time equivalent),30,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
24,Angola,2011,R & D personnel: Other supporting staff - women (number in full-time equivalent),6,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,R & D personnel: Total (number in full-time equivalent),"45,361",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,R & D personnel: Researchers - total (number in full-time equivalent),"31,868",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,R & D personnel: Researchers - women (number in full-time equivalent),"15,416",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,R & D personnel: Technicians - total (number in full-time equivalent),"7,788",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,705",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2010,R & D personnel: Total (number in full-time equivalent),"65,299",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2010,R & D personnel: Researchers - total (number in full-time equivalent),"46,199",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2010,R & D personnel: Researchers - women (number in full-time equivalent),"23,041",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2010,R & D personnel: Technicians - total (number in full-time equivalent),"10,143",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"8,957",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2014,R & D personnel: Total (number in full-time equivalent),"76,904",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2014,R & D personnel: Researchers - total (number in full-time equivalent),"51,665",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2014,R & D personnel: Researchers - women (number in full-time equivalent),"26,280",Excluding business enterprise.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2014,R & D personnel: Technicians - total (number in full-time equivalent),"13,703",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
32,Argentina,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),"11,536",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,R & D personnel: Total (number in full-time equivalent),"6,892",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,R & D personnel: Researchers - total (number in full-time equivalent),"5,056",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,R & D personnel: Researchers - women (number in full-time equivalent),"2,329",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,R & D personnel: Technicians - total (number in full-time equivalent),345,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"1,491",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,R & D personnel: Total (number in full-time equivalent),"6,558",Head count instead of Full-time equivalent.;Partial data.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"4,981",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,R & D personnel: Researchers - women (number in full-time equivalent),"2,261",Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,R & D personnel: Technicians - total (number in full-time equivalent),479,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),672,Head count instead of Full-time equivalent.;Partial data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Total (number in full-time equivalent),"5,044",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Researchers - total (number in full-time equivalent),"3,856",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Researchers - women (number in full-time equivalent),"2,023",Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Technicians - total (number in full-time equivalent),308,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Technicians - women (number in full-time equivalent),186,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),503,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
51,Armenia,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),270,Head count instead of Full-time equivalent.;Excluding business enterprise.;Excluding private non-profit.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,R & D personnel: Total (number in full-time equivalent),"116,194",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2004,R & D personnel: Researchers - total (number in full-time equivalent),"81,192",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,R & D personnel: Total (number in full-time equivalent),"137,489",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,R & D personnel: Researchers - total (number in full-time equivalent),"92,649",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,R & D personnel: Technicians - total (number in full-time equivalent),"24,243",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2008,R & D personnel: Other supporting staff - total (number in full-time equivalent),"20,597",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
36,Australia,2010,R & D personnel: Researchers - total (number in full-time equivalent),"100,414",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Total (number in full-time equivalent),"42,891",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Researchers - total (number in full-time equivalent),"25,955",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Researchers - women (number in full-time equivalent),"4,740",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Technicians - total (number in full-time equivalent),"12,067",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Technicians - women (number in full-time equivalent),"2,901",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Other supporting staff - total (number in full-time equivalent),"4,869",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2004,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,471",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,R & D personnel: Total (number in full-time equivalent),"47,625",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2005,R & D personnel: Researchers - total (number in full-time equivalent),"28,470",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Total (number in full-time equivalent),"56,438",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Researchers - total (number in full-time equivalent),"34,664",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Researchers - women (number in full-time equivalent),"7,765",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Technicians - total (number in full-time equivalent),"16,709",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Technicians - women (number in full-time equivalent),"3,903",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,065",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2009,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,398",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,R & D personnel: Total (number in full-time equivalent),"59,923",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2010,R & D personnel: Researchers - total (number in full-time equivalent),"36,581",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Total (number in full-time equivalent),"66,186",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Researchers - total (number in full-time equivalent),"40,426",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Researchers - women (number in full-time equivalent),"9,286",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Technicians - total (number in full-time equivalent),"20,310",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Technicians - women (number in full-time equivalent),"4,263",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,451",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2013,R & D personnel: Other supporting staff - women (number in full-time equivalent),"2,343",,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,R & D personnel: Total (number in full-time equivalent),"69,318",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
40,Austria,2015,R & D personnel: Researchers - total (number in full-time equivalent),"42,339",Estimate.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,R & D personnel: Total (number in full-time equivalent),"18,164",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,R & D personnel: Researchers - total (number in full-time equivalent),"11,603",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,R & D personnel: Researchers - women (number in full-time equivalent),"6,056",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,R & D personnel: Technicians - total (number in full-time equivalent),"1,825",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,086",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Total (number in full-time equivalent),"17,924",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Researchers - total (number in full-time equivalent),"11,037",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Researchers - women (number in full-time equivalent),"6,101",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Technicians - total (number in full-time equivalent),"1,819",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Technicians - women (number in full-time equivalent),"1,087",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - total (number in full-time equivalent),"3,531",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2010,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,866",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Total (number in full-time equivalent),"23,093",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Researchers - total (number in full-time equivalent),"16,137",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Researchers - women (number in full-time equivalent),"8,849",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Technicians - total (number in full-time equivalent),"1,881",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Technicians - women (number in full-time equivalent),"1,005",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Other supporting staff - total (number in full-time equivalent),"2,571",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
31,Azerbaijan,2015,R & D personnel: Other supporting staff - women (number in full-time equivalent),"1,378",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Total (number in full-time equivalent),562,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Researchers - total (number in full-time equivalent),493,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Researchers - women (number in full-time equivalent),205,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Technicians - total (number in full-time equivalent),23,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Technicians - women (number in full-time equivalent),12,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Other supporting staff - total (number in full-time equivalent),41,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
48,Bahrain,2014,R & D personnel: Other supporting staff - women (number in full-time equivalent),16,,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2005,R & D personnel: Total (number in full-time equivalent),"30,222",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2005,R & D personnel: Researchers - total (number in full-time equivalent),"18,267",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2005,R & D personnel: Researchers - women (number in full-time equivalent),"7,897",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2005,R & D personnel: Technicians - total (number in full-time equivalent),"2,112",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2005,R & D personnel: Other supporting staff - total (number in full-time equivalent),"5,763",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2010,R & D personnel: Total (number in full-time equivalent),"31,712",Head count instead of Full-time equivalent.;Overestimated or based on overestimated data.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2010,R & D personnel: Researchers - total (number in full-time equivalent),"19,879",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2010,R & D personnel: Researchers - women (number in full-time equivalent),"8,392",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
112,Belarus,2010,R & D personnel: Technicians - total (number in full-time equivalent),"2,248",Head count instead of Full-time equivalent.,"United Nations Educational, Scientific and Cultural Organization (UNESCO), Montreal, the UNESCO Institute for Statistics (UIS) statistics database, last accessed November 2017."
