Region,Country_code,Year,0-4,5-9,10-14,15-19,20-24,25-29,30-34,35-39,40-44,45-49,50-54,55-59,60-64,65-69,70-74,75-79,80+,80-84,85-89,90-94,95-99,100+
China,156,1975,  64 781,  67 055,  56 098,  45 019,  46 774,  33 715,  26 988,  25 991,  24 111,  20 791,  17 348,  15 679,  11 941,  7 841,  4 887,  2 376,  1 179,?,?,?,?,?
China,156,1980,  51 865,  63 674,  66 595,  55 843,  44 789,  46 477,  33 439,  26 711,  25 629,  23 616,  20 079,  16 370,  14 221,  10 126,  5 984,  3 132,  1 516,?,?,?,?,?
China,156,1985,  54 648,  51 236,  63 334,  66 320,  55 551,  44 509,  46 134,  33 125,  26 365,  25 147,  22 884,  19 053,  14 979,  12 270,  7 885,  3 918,  2 056,?,?,?,?,?
China,156,1990,  69 008,  54 056,  50 996,  63 073,  65 960,  55 187,  44 172,  45 718,  32 710,  25 905,  24 465,  21 860,  17 587,  13 108,  9 817,  5 278,?,  2 005,571,99,12,1
China,156,1995,  54 436,  68 375,  53 844,  50 777,  62 705,  65 515,  54 764,  43 770,  45 168,  32 167,  25 217,  23 365,  20 225,  15 379,  10 367,  6 643,?,  2 906,811,150,16,1
China,156,2000,  43 468,  54 030,  68 160,  53 657,  50 518,  62 334,  65 070,  54 322,  43 301,  44 484,  31 367,  24 143,  21 751,  17 849,  12 272,  7 067,?,  3 704,  1 238,236,28,2
China,156,2005,  42 500,  43 228,  53 884,  67 892,  53 269,  50 092,  61 817,  64 477,  53 718,  42 695,  43 590,  30 336,  22 774,  19 583,  14 725,  8 697,?,  4 146,  1 685,386,48,4
China,156,2010,  44 475,  42 336,  43 119,  53 641,  67 453,  52 807,  49 633,  61 269,  63 818,  53 013,  41 886,  42 272,  28 732,  20 634,  16 318,  10 602,?,  5 251,  1 977,556,84,7
China,156,2015,  46 089,  44 359,  42 252,  42 956,  53 345,  67 067,  52 461,  49 280,  60 764,  63 100,  52 082,  40 670,  40 104,  26 066,  17 274,  11 941,?,  6 545,  2 575,686,129,13
Japan,392,1950,  5 718,  4 787,  4 365,  4 273,  3 836,  2 822,  2 360,  2 376,  2 199,  1 994,  1 700,  1 365,  1 096,789,536,263,122,?,?,?,?,?
Japan,392,1955,  4 887,  5 599,  4 759,  4 339,  4 218,  3 768,  2 769,  2 313,  2 318,  2 125,  1 897,  1 575,  1 211,906,583,337,170,?,?,?,?,?
Japan,392,1960,  4 088,  4 826,  5 573,  4 732,  4 288,  4 155,  3 712,  2 723,  2 267,  2 253,  2 033,  1 768,  1 408,  1 014,680,369,220,?,?,?,?,?
Japan,392,1965,  4 186,  4 058,  4 788,  5 516,  4 664,  4 247,  4 113,  3 667,  2 679,  2 212,  2 169,  1 910,  1 596,  1 194,776,439,251,?,?,?,?,?
Japan,392,1970,  4 622,  4 229,  4 118,  4 775,  5 496,  4 669,  4 262,  4 112,  3 636,  2 644,  2 161,  2 072,  1 760,  1 386,943,519,313,?,?,?,?,?
Japan,392,1975,  5 217,  4 615,  4 232,  4 115,  4 783,  5 526,  4 692,  4 271,  4 082,  3 589,  2 591,  2 084,  1 938,  1 562,  1 128,660,403,?,?,?,?,?
Japan,392,1980,  4 422,  5 202,  4 620,  4 232,  4 096,  4 761,  5 498,  4 659,  4 224,  4 008,  3 515,  2 508,  1 972,  1 758,  1 313,830,554,?,?,?,?,?
Japan,392,1985,  3 920,  4 412,  5 196,  4 612,  4 219,  4 083,  4 743,  5 467,  4 617,  4 159,  3 905,  3 381,  2 369,  1 800,  1 507,  1 003,760,?,?,?,?,?
Japan,392,1990,  3 481,  3 913,  4 408,  5 168,  4 490,  4 148,  4 077,  4 711,  5 418,  4 556,  4 069,  3 765,  3 201,  2 181,  1 574,  1 194,?,667,266,65,9,1
Japan,392,1995,  3 151,  3 475,  3 910,  4 426,  5 178,  4 474,  4 132,  4 058,  4 677,  5 352,  4 457,  3 934,  3 564,  2 943,  1 916,  1 267,?,818,351,96,14,1
Japan,392,2000,  3 058,  3 147,  3 473,  3 904,  4 315,  5 161,  4 457,  4 112,  4 029,  4 623,  5 260,  4 330,  3 755,  3 299,  2 606,  1 573,?,905,460,138,23,2
Japan,392,2005,  2 911,  3 055,  3 145,  3 469,  3 894,  4 301,  5 142,  4 436,  4 083,  3 984,  4 568,  5 129,  4 158,  3 522,  2 963,  2 183,?,  1 168,542,198,37,3
Japan,392,2010,  2 852,  2 909,  3 053,  3 142,  3 460,  3 882,  4 297,  5 137,  4 438,  4 085,  3 931,  4 459,  4 930,  3 915,  3 203,  2 520,?,  1 647,719,241,55,5
Japan,392,2015,  2 771,  2 855,  2 911,  3 069,  3 148,  3 461,  3 893,  4 318,  5 118,  4 409,  4 038,  3 849,  4 304,  4 656,  3 584,  2 770,?,  1 942,  1 032,324,67,8
Bangladesh,50,1950,  3 169,  2 574,  2 272,  1 993,  1 704,  1 487,  1 296,  1 130,987,829,655,519,376,303,255,164,68,?,?,?,?,?
Bangladesh,50,1955,  3 441,  2 850,  2 510,  2 228,  1 946,  1 659,  1 447,  1 256,  1 087,938,777,602,445,285,197,128,68,?,?,?,?,?
Bangladesh,50,1960,  4 288,  3 150,  2 789,  2 477,  2 193,  1 909,  1 624,  1 410,  1 214,  1 039,884,719,523,344,190,102,59,?,?,?,?,?
Bangladesh,50,1965,  5 185,  3 976,  3 078,  2 728,  2 408,  2 132,  1 861,  1 582,  1 365,  1 164,984,823,630,411,235,103,51,?,?,?,?,?
Bangladesh,50,1970,  6 085,  4 845,  3 895,  3 019,  2 662,  2 350,  2 086,  1 818,  1 536,  1 313,  1 108,921,729,504,288,132,52,?,?,?,?,?
Bangladesh,50,1975,  6 324,  5 434,  4 590,  3 335,  2 376,  2 449,  2 313,  2 047,  1 772,  1 481,  1 251,  1 037,820,593,361,166,66,?,?,?,?,?
Bangladesh,50,1980,  7 248,  5 980,  5 355,  4 549,  3 298,  2 253,  2 245,  2 218,  1 987,  1 654,  1 367,  1 140,899,649,415,207,86,?,?,?,?,?
Bangladesh,50,1985,  8 001,  6 913,  5 903,  5 311,  4 503,  3 302,  2 304,  2 290,  2 149,  1 814,  1 491,  1 217,966,696,448,239,111,?,?,?,?,?
Bangladesh,50,1990,  8 382,  7 679,  6 836,  5 860,  5 263,  4 435,  3 248,  2 283,  2 243,  2 075,  1 732,  1 401,  1 096,803,518,276,?,110,27,3,0,0
Bangladesh,50,1995,  8 467,  8 117,  7 580,  6 684,  5 692,  5 150,  4 360,  3 202,  2 243,  2 183,  1 988,  1 628,  1 268,925,612,332,?,136,36,5,0,0
Bangladesh,50,2000,  8 578,  8 270,  8 027,  7 481,  6 558,  5 566,  5 054,  4 270,  3 130,  2 184,  2 091,  1 873,  1 485,  1 104,748,444,?,206,63,11,1,0
Bangladesh,50,2005,  8 546,  8 439,  8 219,  7 913,  7 265,  6 366,  5 410,  4 909,  4 150,  2 998,  2 063,  1 958,  1 686,  1 274,886,549,?,288,105,23,4,1
Bangladesh,50,2010,  8 085,  8 451,  8 397,  7 992,  7 426,  6 841,  6 033,  5 116,  4 694,  3 904,  2 781,  1 886,  1 704,  1 401,  1 003,652,?,366,156,44,9,2
Bangladesh,50,2015,  7 791,  8 023,  8 407,  8 245,  7 695,  7 160,  6 632,  5 843,  4 970,  4 522,  3 713,  2 602,  1 678,  1 453,  1 117,740,?,446,212,74,17,3
India,356,1950,  27 332,  22 770,  21 310,  19 611,  17 895,  15 889,  14 063,  12 205,  10 723,  8 704,  7 381,  5 175,  4 247,  2 416,  1 796,989,604,?,?,?,?,?
India,356,1955,  34 248,  25 018,  21 908,  20 518,  18 654,  16 891,  14 937,  13 119,  11 253,  9 712,  7 672,  6 258,  4 144,  3 130,  1 580,996,574,?,?,?,?,?
India,356,1960,  37 468,  31 662,  24 214,  21 231,  19 689,  17 788,  16 047,  14 086,  12 233,  10 314,  8 677,  6 620,  5 128,  3 144,  2 113,908,608,?,?,?,?,?
India,356,1965,  40 987,  34 912,  30 787,  23 610,  20 581,  19 002,  17 099,  15 310,  13 290,  11 342,  9 322,  7 591,  5 512,  3 967,  2 177,  1 256,612,?,?,?,?,?
India,356,1970,  44 400,  38 453,  34 110,  30 204,  23 074,  20 046,  18 443,  16 485,  14 607,  12 471,  10 385,  8 265,  6 405,  4 329,  2 808,  1 333,812,?,?,?,?,?
India,356,1975,  48 738,  42 090,  37 886,  33 779,  29 879,  22 832,  19 776,  18 055,  15 961,  13 918,  11 616,  9 364,  7 081,  5 113,  3 130,  1 767,960,?,?,?,?,?
India,356,1980,  53 238,  46 563,  41 539,  37 545,  33 413,  29 519,  22 513,  19 388,  17 532,  15 279,  13 046,  10 545,  8 076,  5 691,  3 735,  1 997,  1 252,?,?,?,?,?
India,356,1985,  59 312,  51 248,  46 006,  41 183,  37 141,  33 002,  29 091,  22 082,  18 858,  16 825,  14 360,  11 874,  9 108,  6 488,  4 168,  2 397,  1 486,?,?,?,?,?
India,356,1990,  62 847,  57 436,  50 680,  45 613,  40 725,  36 653,  32 498,  28 524,  21 492,  18 120,  15 834,  13 093,  10 279,  7 327,  4 761,  2 687,?,  1 264,410,94,11,1
India,356,1995,  64 993,  61 209,  56 875,  50 262,  45 104,  40 167,  36 071,  31 866,  27 795,  20 704,  17 123,  14 534,  11 466,  8 401,  5 486,  3 157,?,  1 472,524,117,17,1
India,356,2000,  67 002,  63 640,  60 702,  56 447,  49 733,  44 500,  39 534,  35 379,  31 078,  26 840,  19 648,  15 827,  12 882,  9 527,  6 416,  3 734,?,  1 795,644,161,23,2
India,356,2005,  68 278,  65 855,  63 129,  60 219,  55 797,  48 987,  43 724,  38 717,  34 475,  30 025,  25 535,  18 253,  14 161,  10 846,  7 382,  4 443,?,  2 175,814,209,34,3
India,356,2010,  67 698,  67 351,  65 368,  62 640,  59 521,  54 957,  48 133,  42 820,  37 736,  33 343,  28 647,  23 860,  16 489,  12 097,  8 550,  5 222,?,  2 669,  1 034,284,49,5
India,356,2015,  63 905,  66 951,  66 886,  64 941,  62 049,  58 723,  54 065,  47 181,  41 779,  36 543,  31 897,  26 880,  21 694,  14 231,  9 642,  6 114,?,  3 241,  1 362,396,76,9
Pakistan,586,1950,  2 998,  2 640,  2 296,  2 025,  1 783,  1 568,  1 367,  1 175,974,818,665,562,487,401,313,225,165,?,?,?,?,?
Pakistan,586,1955,  2 987,  2 682,  2 539,  2 234,  1 951,  1 711,  1 504,  1 305,  1 114,914,755,599,488,398,295,194,158,?,?,?,?,?
Pakistan,586,1960,  3 666,  2 748,  2 601,  2 483,  2 167,  1 885,  1 652,  1 446,  1 247,  1 054,852,686,526,405,299,189,149,?,?,?,?,?
Pakistan,586,1965,  4 387,  3 438,  2 682,  2 550,  2 414,  2 101,  1 827,  1 596,  1 388,  1 187,988,780,608,443,310,197,147,?,?,?,?,?
Pakistan,586,1970,  5 091,  4 165,  3 373,  2 633,  2 479,  2 342,  2 040,  1 770,  1 538,  1 327,  1 119,911,698,518,344,208,157,?,?,?,?,?
Pakistan,586,1975,  5 808,  4 875,  4 104,  3 326,  2 577,  2 423,  2 288,  1 988,  1 716,  1 480,  1 260,  1 040,823,602,410,237,172,?,?,?,?,?
Pakistan,586,1980,  6 788,  5 608,  4 828,  4 101,  3 359,  2 607,  2 419,  2 264,  1 954,  1 672,  1 422,  1 185,950,718,482,286,196,?,?,?,?,?
Pakistan,586,1985,  8 030,  6 592,  5 573,  4 862,  4 208,  3 451,  2 645,  2 422,  2 245,  1 918,  1 619,  1 347,  1 090,835,579,339,236,?,?,?,?,?
Pakistan,586,1990,  9 467,  7 792,  6 540,  5 538,  4 829,  4 172,  3 409,  2 603,  2 372,  2 181,  1 842,  1 523,  1 233,954,672,407,?,193,69,16,2,0
Pakistan,586,1995,  10 039,  9 191,  7 722,  6 437,  5 373,  4 673,  4 055,  3 317,  2 523,  2 286,  2 081,  1 726,  1 386,  1 071,769,480,?,239,84,19,3,0
Pakistan,586,2000,  10 426,  9 785,  9 120,  7 631,  6 299,  5 243,  4 571,  3 967,  3 232,  2 441,  2 187,  1 956,  1 575,  1 207,865,551,?,284,105,24,3,0
Pakistan,586,2005,  10 480,  10 195,  9 716,  9 025,  7 488,  6 163,  5 138,  4 478,  3 873,  3 134,  2 339,  2 059,  1 788,  1 374,977,621,?,326,124,29,4,0
Pakistan,586,2010,  11 646,  10 252,  10 115,  9 570,  8 771,  7 251,  5 998,  5 009,  4 355,  3 744,  2 996,  2 194,  1 877,  1 557,  1 109,698,?,365,141,34,5,0
Pakistan,586,2015,  12 817,  11 426,  10 174,  10 008,  9 398,  8 572,  7 080,  5 865,  4 890,  4 232,  3 604,  2 837,  2 015,  1 648,  1 274,809,?,423,166,42,6,0
Indonesia,360,1950,  4 860,  4 281,  4 128,  3 707,  3 244,  2 658,  2 251,  2 089,  1 785,  1 381,  1 085,928,781,585,401,220,112,?,?,?,?,?
Indonesia,360,1955,  6 042,  4 440,  4 207,  4 080,  3 624,  3 138,  2 562,  2 161,  1 995,  1 689,  1 284,979,797,619,412,234,124,?,?,?,?,?
Indonesia,360,1960,  7 545,  5 645,  4 373,  4 157,  3 989,  3 514,  3 031,  2 459,  2 056,  1 876,  1 557,  1 148,834,630,439,245,139,?,?,?,?,?
Indonesia,360,1965,  8 701,  7 161,  5 574,  4 324,  4 066,  3 872,  3 399,  2 914,  2 343,  1 936,  1 733,  1 397,984,666,453,266,153,?,?,?,?,?
Indonesia,360,1970,  9 746,  8 323,  7 083,  5 523,  4 247,  3 968,  3 767,  3 287,  2 793,  2 218,  1 797,  1 563,  1 205,793,484,279,170,?,?,?,?,?
Indonesia,360,1975,  10 528,  9 398,  8 243,  7 023,  5 436,  4 158,  3 874,  3 657,  3 164,  2 655,  2 069,  1 629,  1 356,979,583,303,185,?,?,?,?,?
Indonesia,360,1980,  11 153,  10 230,  9 309,  8 167,  6 911,  5 325,  4 063,  3 768,  3 530,  3 018,  2 487,  1 884,  1 422,  1 111,727,370,205,?,?,?,?,?
Indonesia,360,1985,  11 605,  10 918,  10 153,  9 239,  8 056,  6 791,  5 222,  3 968,  3 654,  3 384,  2 843,  2 280,  1 658,  1 177,835,470,248,?,?,?,?,?
Indonesia,360,1990,  11 365,  11 450,  10 885,  10 114,  9 146,  7 947,  6 689,  5 123,  3 867,  3 523,  3 209,  2 626,  2 023,  1 386,896,548,?,245,63,10,1,0
Indonesia,360,1995,  11 142,  11 184,  11 363,  10 749,  9 897,  8 931,  7 758,  6 516,  4 964,  3 707,  3 322,  2 950,  2 321,  1 688,  1 056,591,?,289,83,13,1,0
Indonesia,360,2000,  10 823,  11 021,  11 129,  11 290,  10 607,  9 728,  8 780,  7 622,  6 375,  4 814,  3 540,  3 096,  2 645,  1 962,  1 302,703,?,313,101,18,2,0
Indonesia,360,2005,  11 602,  11 605,  11 568,  11 236,  10 518,  10 296,  9 448,  8 490,  7 308,  5 826,  4 572,  3 705,  2 811,  2 114,  1 424,775,?,388,111,22,2,0
Indonesia,360,2010,  12 146,  12 238,  11 678,  11 309,  10 934,  10 657,  9 962,  9 366,  8 362,  7 067,  5 916,  4 450,  2 936,  2 228,  1 537,840,?,484,141,25,3,0
Indonesia,360,2015,  12 558,  12 068,  12 190,  11 580,  11 136,  10 753,  10 490,  9 796,  9 177,  8 130,  6 775,  5 542,  3 998,  2 469,  1 707,  1 015,?,439,180,33,3,0
Mexico,484,1950,  2 470,  1 994,  1 616,  1 406,  1 220,  1 030,782,726,615,561,455,342,257,188,129,62,77,?,?,?,?,?
Mexico,484,1955,  3 140,  2 320,  1 947,  1 569,  1 348,  1 166,985,749,691,579,521,413,300,214,144,89,56,?,?,?,?,?
Mexico,484,1960,  3 638,  2 990,  2 268,  1 891,  1 504,  1 289,  1 119,949,718,657,543,478,368,255,170,104,76,?,?,?,?,?
Mexico,484,1965,  4 159,  3 493,  2 928,  2 200,  1 809,  1 435,  1 238,  1 082,914,685,619,502,430,317,207,126,101,?,?,?,?,?
Mexico,484,1970,  4 819,  4 010,  3 413,  2 832,  2 088,  1 718,  1 374,  1 199,  1 044,874,647,573,451,370,257,154,126,?,?,?,?,?
Mexico,484,1975,  5 741,  4 672,  3 909,  3 283,  2 675,  1 967,  1 639,  1 332,  1 158,  1 000,826,599,516,390,302,193,157,?,?,?,?,?
Mexico,484,1980,  5 743,  5 613,  4 557,  3 751,  3 090,  2 522,  1 872,  1 589,  1 288,  1 111,947,768,542,449,321,230,201,?,?,?,?,?
Mexico,484,1985,  5 696,  5 625,  5 466,  4 351,  3 501,  2 895,  2 399,  1 817,  1 540,  1 239,  1 056,884,699,475,373,248,250,?,?,?,?,?
Mexico,484,1990,  5 874,  5 576,  5 463,  5 231,  4 068,  3 286,  2 764,  2 340,  1 770,  1 490,  1 184,993,812,619,400,291,?,169,84,29,7,1
Mexico,484,1995,  6 022,  5 788,  5 499,  5 342,  5 057,  3 888,  3 143,  2 659,  2 255,  1 697,  1 418,  1 112,913,722,524,315,?,201,93,36,9,2
Mexico,484,2000,  6 085,  5 932,  5 679,  5 321,  5 087,  4 789,  3 684,  3 003,  2 552,  2 163,  1 617,  1 336,  1 026,816,615,418,?,220,112,39,11,2
Mexico,484,2005,  6 014,  6 016,  5 817,  5 470,  5 039,  4 801,  4 555,  3 514,  2 872,  2 440,  2 063,  1 526,  1 239,920,695,490,?,291,123,46,11,2
Mexico,484,2010,  5 849,  5 988,  5 996,  5 780,  5 413,  4 972,  4 732,  4 486,  3 452,  2 809,  2 370,  1 980,  1 437,  1 133,803,566,?,359,183,61,16,3
Mexico,484,2015,  5 892,  5 824,  5 967,  5 956,  5 720,  5 342,  4 901,  4 660,  4 409,  3 380,  2 732,  2 280,  1 871,  1 320,995,660,?,419,229,93,22,4
Brazil,76,1950,  4 533,  3 523,  3 230,  2 711,  2 515,  2 068,  1 718,  1 525,  1 277,  1 010,856,633,461,330,206,116,63,?,?,?,?,?
Brazil,76,1955,  5 453,  4 305,  3 485,  3 206,  2 682,  2 475,  2 025,  1 671,  1 471,  1 218,946,781,554,378,245,131,73,?,?,?,?,?
Brazil,76,1960,  6 232,  5 196,  4 253,  3 449,  3 157,  2 625,  2 407,  1 958,  1 606,  1 400,  1 139,862,683,455,283,157,91,?,?,?,?,?
Brazil,76,1965,  7 121,  5 969,  5 142,  4 216,  3 404,  3 099,  2 563,  2 340,  1 893,  1 539,  1 318,  1 044,759,566,344,185,113,?,?,?,?,?
Brazil,76,1970,  7 444,  6 850,  5 915,  5 104,  4 169,  3 350,  3 036,  2 500,  2 270,  1 822,  1 456,  1 215,927,635,433,229,139,?,?,?,?,?
Brazil,76,1975,  7 757,  7 211,  6 802,  5 879,  5 053,  4 109,  3 288,  2 966,  2 429,  2 186,  1 726,  1 346,  1 081,778,487,289,173,?,?,?,?,?
Brazil,76,1980,  8 618,  7 592,  7 171,  6 762,  5 820,  4 980,  4 031,  3 210,  2 878,  2 333,  2 066,  1 589,  1 189,897,585,316,206,?,?,?,?,?
Brazil,76,1985,  9 347,  8 503,  7 560,  7 131,  6 693,  5 733,  4 883,  3 934,  3 111,  2 760,  2 201,  1 896,  1 398,979,667,373,223,?,?,?,?,?
Brazil,76,1990,  9 144,  9 259,  8 471,  7 516,  7 052,  6 583,  5 616,  4 763,  3 813,  2 985,  2 604,  2 020,  1 668,  1 152,731,429,?,191,57,11,1,0
Brazil,76,1995,  8 929,  9 081,  9 228,  8 424,  7 429,  6 931,  6 446,  5 481,  4 624,  3 666,  2 824,  2 400,  1 789,  1 392,878,488,?,231,73,13,1,0
Brazil,76,2000,  8 961,  8 873,  9 055,  9 177,  8 318,  7 303,  6 797,  6 303,  5 330,  4 457,  3 487,  2 633,  2 172,  1 552,  1 131,648,?,302,105,21,2,0
Brazil,76,2005,  8 382,  8 910,  8 851,  9 009,  9 069,  8 192,  7 182,  6 665,  6 149,  5 157,  4 262,  3 277,  2 413,  1 921,  1 298,870,?,429,151,34,4,0
Brazil,76,2010,  7 742,  8 349,  8 893,  8 812,  8 915,  8 949,  8 075,  7 060,  6 521,  5 969,  4 951,  4 024,  3 020,  2 149,  1 620,  1 009,?,589,224,53,7,0
Brazil,76,2015,  7 607,  7 722,  8 335,  8 854,  8 715,  8 798,  8 828,  7 952,  6 927,  6 355,  5 755,  4 698,  3 737,  2 717,  1 835,  1 275,?,703,346,104,18,2
United States of America,840,1950,  8 812,  7 044,  5 890,  5 668,  6 105,  6 407,  6 045,  5 751,  5 328,  4 728,  4 287,  3 782,  3 304,  2 613,  1 673,  1 023,774,?,?,?,?,?
United States of America,840,1955,  9 847,  8 799,  7 145,  5 722,  5 346,  6 119,  6 414,  6 035,  5 677,  4 981,  4 881,  3 938,  3 534,  2 838,  1 937,  1 196,929,?,?,?,?,?
United States of America,840,1960,  10 587,  9 847,  8 838,  6 970,  5 728,  5 721,  6 190,  6 410,  5 952,  5 567,  5 015,  4 550,  3 571,  2 987,  2 155,  1 401,  1 057,?,?,?,?,?
United States of America,840,1965,  10 092,  10 659,  9 938,  8 803,  6 938,  5 941,  5 843,  6 183,  6 342,  5 815,  5 340,  4 757,  4 006,  3 036,  2 338,  1 562,  1 201,?,?,?,?,?
United States of America,840,1970,  9 007,  10 379,  10 752,  9 898,  8 247,  7 105,  6 073,  5 780,  6 154,  6 230,  5 601,  4 977,  4 187,  3 435,  2 349,  1 646,  1 389,?,?,?,?,?
United States of America,840,1975,  8 461,  9 069,  10 475,  10 784,  9 941,  8 759,  7 252,  6 019,  5 790,  6 020,  5 961,  5 228,  4 474,  3 623,  2 654,  1 684,  1 596,?,?,?,?,?
United States of America,840,1980,  8 565,  8 707,  9 725,  11 014,  10 945,  10 009,  8 816,  6 784,  5 912,  5 381,  5 632,  5 522,  4 796,  4 106,  2 924,  2 175,  1 635,?,?,?,?,?
United States of America,840,1985,  9 109,  8 702,  8 973,  9 977,  11 043,  11 120,  10 195,  8 747,  6 813,  5 855,  5 263,  5 362,  5 107,  4 293,  3 320,  2 183,  2 057,?,?,?,?,?
United States of America,840,1990,  9 861,  9 229,  8 926,  9 246,  10 072,  10 976,  11 161,  10 132,  8 792,  6 693,  5 712,  5 013,  4 984,  4 553,  3 544,  2 531,?,  1 389,694,175,45,6
United States of America,840,1995,  10 230,  10 024,  9 674,  9 394,  9 326,  10 124,  11 357,  11 255,  10 077,  8 538,  6 566,  5 469,  4 716,  4 503,  3 837,  2 760,?,  1 614,733,263,42,6
United States of America,840,2000,  10 013,  10 681,  10 612,  10 230,  9 723,  9 772,  10 541,  11 476,  11 232,  10 048,  8 561,  6 377,  5 248,  4 349,  3 879,  3 056,?,  1 886,861,273,59,6
United States of America,840,2005,  10 364,  10 115,  11 055,  11 088,  10 540,  9 761,  9 897,  10 583,  11 394,  11 099,  9 882,  8 339,  6 101,  4 888,  3 835,  3 145,?,  2 102,  1 049,328,60,7
United States of America,840,2010,  10 637,  10 548,  10 659,  11 371,  11 092,  10 477,  9 933,  9 967,  10 573,  11 292,  10 966,  9 619,  7 991,  5 713,  4 345,  3 162,?,  2 327,  1 252,436,79,8
United States of America,840,2015,  10 149,  10 687,  10 587,  10 876,  11 739,  11 427,  10 710,  10 065,  10 007,  10 506,  11 080,  10 600,  9 133,  7 419,  5 112,  3 655,?,  2 389,  1 448,554,115,11
